acquisitions expert	
acridian	
acrobatic cheerleader	
acrobatic maneuver	removal,draw,cantrip
act of heroism	combat_pump
action news crew	
active volcano	removal
adanto vanguard	
adanto, the first fort	tokens
adaptive automaton	anthem
adaptive omnitool	equipment
adarkar valkyrie	evasive
adarkar windform	evasive
adder-staff boggart	
additive evolution	tokens
adelbert steiner	
adeline, resplendent cathar	tokens
adeliz, the cinder wind	evasive,haste
adherent of hope	
adherent's heirloom	mana_dork,ramp
adipose offspring	tokens
admiral beckett brass	anthem
admiral brass, unsinkable	reanimation
admiral's order	counterspell
admonition angel	evasive
adorable kitten	
adorned crocodile	tokens
adorned pouncer	
adric, mathematical genius	
adult gold dragon	evasive,haste
advance scout	
advanced hoverguard	evasive
advanced stitchwing	evasive
advent of the wurm	tokens
adventure awaits	draw,cantrip
adventuring gear	equipment
adventurous impulse	draw,cantrip
adverse conditions	tokens
advice from the fae	draw,cantrip
aegis angel	evasive
aegis automaton	
aegis of the gods	
aegis of the heavens	combat_pump
aegis of the legion	anthem,equipment
aegis sculptor	evasive
aegis turtle	
aerial assault	removal
aerial caravan	evasive
aerial doombot	evasive
aerial engineer	evasive
aerial extortionist	evasive
aerial guide	evasive
aerial modification	anthem
aerial predation	removal
aerial responder	evasive
aerial toastmaster	evasive
aerial volley	removal
aerialephant	evasive
aerid konstrari	evasive
aerie auxiliary	evasive
aerie mystics	evasive
aerie worshippers	tokens
aerith rescue mission	tokens
aeromoeba	evasive
aeromunculus	evasive
aeronaut admiral	evasive
aeronaut cavalry	evasive
aeronaut tinkerer	evasive
aeronaut's wings	anthem,equipment
aesi, tyrant of gyre strait	ramp
aesthir glider	evasive
aether chaser	tokens
aether figment	
aether gale	removal
aether helix	removal
aether herder	tokens
aether inspector	tokens
aether mutation	removal,tokens
aether poisoner	tokens
aether refinery	tokens
aether snap	sweeper
aether spike	counterspell
aether swooper	tokens,evasive
aether theorist	
aether tide	removal
aether tradewinds	removal
aether tunnel	anthem
aether web	anthem
aetherblade agent	
aetherborn marauder	evasive
aetherflame wall	
aethergeode miner	
aetheric amplifier	mana_dork,ramp
aetherjacket	evasive
aethermage's touch	sweeper,draw,cantrip
aethersquall ancient	evasive
aetherstorm roc	evasive
aetherstream leopard	evasive
aethertide whale	evasive
aetherwind basker	evasive
aettir and priwen	equipment
afflict	draw,cantrip,combat_pump
afterlife	removal,tokens
afterlife from the loam	sweeper
afterlife insurance	draw,cantrip
aftermath analyst	sweeper
aftershock	removal
afterthought sentry	
agadeem occultist	reanimation
against all odds	removal,reanimation
agate assault	removal
agate instigator	
agate-blade assassin	
agatha of the vile cauldron	
agatha's champion	evasive
age of ultron	tokens
ageless guardian	
ageless sentinels	evasive
agency outfitter	evasive
agent frank horrigan	evasive
agent maria hill	
agent of acquisitions	
agent of atlas	
agent of kotis	
agent of raffine	
agent of shauku	
agent of stromgald	
agent phil coulson	
agent venom	evasive
agents of hydra	tokens
aggravate	sweeper
aggressive instinct	removal
aggressive mammoth	evasive
aggressive negotiations	removal
aggressive sabotage	removal
aggressive urge	draw,cantrip,combat_pump
agility	anthem
agility bobblehead	mana_dork,ramp
agonasaur rex	evasive
agonizing demise	removal
agonizing remorse	removal
agonizing syphon	removal,burn
agony warp	combat_pump
agoraphobic phyrexian	evasive
ahn-crop crasher	haste
ahriman	evasive
aim for the head	removal
ainok bond-kin	
ainok guide	
ainok strike leader	tokens
ainok survivalist	
ainok wayfarer	
air elemental	evasive
air marshal	
air nomad legacy	anthem
air nomad student	evasive
air servant	evasive
air-cult elemental	evasive
airbender's reversal	removal
airbending lesson	removal,draw,cantrip
airborne aid	draw,cantrip
airdrop aeronauts	evasive
airdrop condor	evasive
airlift chaplain	evasive
airship crash	removal
airtight alibi	anthem
aisling leprechaun	
ajani fells the godsire	tokens
ajani resolute	tokens
ajani unrelenting	sweeper,tokens
ajani unyielding	sweeper
ajani vengeant	sweeper
ajani's chosen	tokens
ajani's comrade	evasive
ajani's influence	draw,cantrip
ajani's last stand	tokens
ajani's pridemate	
ajani's response	removal
ajani's sunstriker	
ajani, adversary of tyrants	reanimation
ajani, caller of the pride	tokens
ajani, nacatl avenger	tokens
ajani, nacatl pariah	tokens
ajani, outland chaperone	tokens
ajani, strength of the pride	sweeper,tokens
ajani, wise counselor	mass_pump
akawalli, the seething tower	evasive
akim, the soaring wind	tokens,evasive
akiri, line-slinger	
akki avalanchers	
akki blizzard-herder	
akki ember-keeper	tokens
akki lavarunner	haste
akki raider	
akki rockspeaker	
akki ronin	
akki scrapchomper	
akki underling	
akki war paint	anthem
akoum battlesinger	haste
akoum firebird	evasive,haste
akoum hellhound	
akoum hellkite	evasive
akoum stonewaker	tokens
akoum warrior	evasive
akrasan squire	
akroan crusader	tokens
akroan hoplite	
akroan horse	tokens
akroan jailer	
akroan phalanx	mass_pump
akroan skyguard	evasive
akroma's vengeance	sweeper
akroma, angel of fury	evasive
akroma, angel of wrath	evasive,haste
akroma, vision of ixidor	evasive
aku djinn	evasive
akul the unrepentant	evasive
akuta, born of ash	haste
alabaster dragon	evasive
alabaster host sanctifier	
alabaster kirin	evasive
alabaster leech	
alabaster mage	
alaborn grenadier	
alaborn musketeer	
alaborn zealot	
alacrian armory	anthem
alandra, sky dreamer	tokens
alarum	combat_pump
albino troll	
albiorix, goose tyrant	evasive
alchemist's apprentice	
alchemist's assistant	
alchemist's gambit	removal
alchemist's gift	combat_pump
alchemist's greeting	removal
alchemist's retrieval	removal
alela, artful provocateur	anthem,tokens,evasive
alela, cunning conqueror	tokens,evasive
alena, kessig trapper	mana_dork,ramp
alesha, who laughs at fate	reanimation
alesha, who smiles at death	reanimation
alex wilder, runaway	
alexios, deimos of kosmos	evasive
alhammarret, high arbiter	evasive
alharu, solemn ritualist	tokens
ali baba	
aliban's tower	combat_pump
alicia masters, skilled sculptor	
alien invasion	tokens
alien symbiosis	anthem
aligned heart	tokens
alirios, enraptured	tokens
alistair, the brigadier	tokens
alive	tokens
all aboard	removal
all hallow's eve	removal
all suns' dawn	removal
all-fates scroll	mana_dork,ramp
all-out assault	anthem
all-seeing arbiter	evasive
all-star kicker	
allay	removal
alley evasion	removal,combat_pump
alley strangler	evasive
alliance of arms	tokens
allied assault	combat_pump
allied reinforcements	tokens
allied strategies	draw,cantrip
allied teamwork	anthem,tokens
allosaurus shepherd	
alloy animist	
alloy myr	mana_dork,ramp
allure of power	draw,cantrip
allure of the unknown	removal,sweeper
alluring siren	
almighty brushwagg	evasive
aloe alchemist	evasive
alpha brawl	removal,sweeper
alpha deathclaw	evasive
alpha guard	
alpha myr	
alpine houndmaster	
alpine watchdog	
alrund's epiphany	removal,tokens
alseid of life's bounty	
altac bloodseeker	
altanak, the thrice-called	evasive
altar golem	evasive
altar of bhaal	reanimation
altar of the lost	mana_dork,ramp
altar of the pantheon	mana_dork,ramp
altar's light	removal
altar's reap	draw,cantrip
always watching	anthem
amalia benavides aguirre	
amarant coral	evasive
amareth, the lustrous	evasive
amass the components	draw,cantrip
amateur auteur	
amazing acrobatics	counterspell
amazing alliance	anthem
amazing spider-girl	evasive
ambassador oak	tokens
ambassador of evendo	
amber gristle o'maul	haste
amber-plate ainok	
ambergris, agent of balance	haste
ambergris, agent of destruction	haste
ambergris, agent of law	haste
ambergris, agent of progress	haste
ambergris, agent of tyranny	haste
ambergris, citadel agent	haste
ambition's cost	draw,cantrip
ambitious assault	draw,cantrip,mass_pump
ambitious augmenter	tokens
ambitious farmhand	
ambrosia whiteheart	
ambuscade	removal,combat_pump
ambush krotiq	evasive
ambush paratrooper	mass_pump,evasive
ambush party	haste
ambush viper	
amethyst dragon	evasive,haste
aminatou's augury	sweeper
amoeboid changeling	
amorphous axe	anthem,equipment
amped raptor	
amphin mutineer	tokens
amrou kithkin	
amrou scout	
amugaba	evasive
amy rose	haste
amzu, swarm's hunger	tokens,evasive
an incident has occurred	removal
an offer you can't refuse	counterspell
an unexpected party	anthem
ana disciple	
anaba ancestor	
anaba spirit crafter	anthem
anafenza, kin-tree spirit	
analyze the pollen	ramp,land_fetch
anarchy	sweeper
anax, hardened in the forge	tokens
ancestor dragon	evasive
ancestral anger	draw,cantrip
ancestral blade	anthem,tokens,equipment
ancestral craving	draw,cantrip
ancestral katana	anthem,equipment
ancestral memories	draw,cantrip
ancestral recall	draw,cantrip
ancestral recall [24a29be4-5bc2-469b-b2ce-2fb305c3facb]	draw,cantrip
ancestral reminiscence	draw,cantrip
ancestral vision	draw,cantrip
ancient brass dragon	evasive,reanimation
ancient bronze dragon	evasive
ancient copper dragon	evasive
ancient cornucopia	mana_dork,ramp
ancient craving	draw,cantrip
ancient den	mana_dork,ramp
ancient excavation	draw,cantrip
ancient gold dragon	tokens,evasive
ancient grudge	removal
ancient hellkite	evasive
ancient imperiosaur	evasive
ancient of the equinox	evasive
ancient silver dragon	evasive
ancient stirrings	draw,cantrip
ancient stone idol	tokens,evasive
ancient vendetta	removal
andrios, roaming explorer	mana_dork,ramp
andúril, flame of the west	anthem,tokens,equipment
andúril, narsil reforged	equipment
anep, vizier of hazoret	evasive
angel of condemnation	evasive
angel of deliverance	evasive
angel of despair	evasive
angel of destiny	evasive
angel of eternal dawn	evasive
angel of finality	evasive
angel of flight alabaster	evasive
angel of fury	evasive
angel of glory's rise	evasive
angel of grace	evasive
angel of indemnity	evasive
angel of invention	anthem,evasive
angel of jubilation	anthem,evasive
angel of light	evasive
angel of mercy	evasive
angel of renewal	evasive
angel of retribution	evasive
angel of salvation	evasive
angel of sanctions	evasive
angel of serenity	evasive
angel of suffering	evasive
angel of the dawn	evasive
angel of the dire hour	evasive
angel of the god-pharaoh	evasive
angel of the ruins	evasive
angel of unity	evasive
angel of vitality	evasive
angel's herald	
angelic aberration	tokens,evasive
angelic accord	tokens
angelic arbiter	evasive
angelic armaments	anthem,equipment
angelic ascension	removal,tokens
angelic captain	evasive
angelic cub	evasive
angelic curator	evasive
angelic destiny	anthem
angelic edict	removal
angelic enforcer	evasive
angelic favor	tokens
angelic field marshal	evasive
angelic guardian	evasive
angelic harold	evasive
angelic observer	evasive
angelic overseer	evasive
angelic page	evasive
angelic protector	evasive
angelic purge	removal
angelic quartermaster	evasive
angelic reward	anthem
angelic rocket	evasive
angelic sell-sword	tokens,evasive
angelic shield	anthem
angelic skirmisher	evasive
angelic sleuth	evasive
angelic voices	anthem
angelic wall	evasive
anger	haste
anger of the gods	sweeper
angler drake	evasive
angrath's fury	removal
angrath, minotaur pirate	sweeper
angry mob	evasive
angry rabble	evasive
anguished unmaking	removal
anikthea, hand of erebos	evasive
anim pakal, thousandth moon	tokens
animal attendant	mana_dork,ramp
animating faerie	evasive
animation module	tokens
animist's awakening	draw,cantrip
animist's might	removal
animus of night's reach	evasive
anina, natural parallelist	mana_dork,ramp
anje falkenrath	haste
ankle biter	
ankle shanker	haste
annihilate	removal,draw,cantrip
annihilating fire	removal,burn
annihilating glare	removal
annoyed altisaur	evasive
annul	counterspell
ano'thr, equipment commander	
anoint with affliction	removal
anointed chorister	
anointer of champions	
anointer of valor	evasive
anointer priest	
another round	removal
anowon, the ruin thief	anthem
ant queen	tokens
ant-man's air force	evasive
ant-man, colony commander	tokens
ant-man, scott lang	
antagonize	combat_pump
anthem of champions	anthem
anti-venom, horrifying healer	reanimation
anticipate	draw,cantrip
anticognition	counterspell
antique collector	
antiquities on the loose	tokens
anvilwrought raptor	evasive
anya, merciless angel	evasive
anzrag's rampage	sweeper
ao, the dawn sky	evasive
apex hawks	evasive
apex of power	ramp,ritual
apex witchstalker	evasive
aphelia, viper whisperer	tokens
aphemia, the cacophony	tokens,evasive
aphetto alchemist	
aphetto vulture	evasive
aphotic wisps	draw,cantrip
aplan mortarium	tokens
apocalypse	sweeper
apocalypse chime	sweeper
apocalypse demon	evasive
apocalypse hydra	
apostle of invasion	evasive
apostle of purifying light	
apothecary geist	evasive
apothecary initiate	
apothecary white	tokens
appa, aang's companion	evasive
appa, loyal sky bison	evasive
appa, steadfast guardian	tokens,evasive
appa, the vigilant	evasive
appeal to eirdu	combat_pump
appetite for brains	removal
appetite for the unnatural	removal
applied biomancy	removal,combat_pump
apprentice necromancer	reanimation
apprentice wizard	mana_dork,ramp
april o'neil, kunoichi trainee	
april o'neil, live on the scene	
aquamoeba	
aquastrand spider	
aquatic alchemist	
aquatic incursion	tokens
aquatic ingress	combat_pump
aquatic subtlety	draw,cantrip
aqueous aria	tokens
aquitect's defenses	anthem
aquitect's will	draw,cantrip
araba mothrider	evasive
arabella, abandoned doll	
arachnoform	anthem
arachnogenesis	tokens
aragorn, the uniter	tokens
arahbo, the first fang	anthem,tokens
arashi, the sky asunder	sweeper
arashin cleric	
arashin sovereign	evasive
arasta of the endless web	tokens
arbaaz mir	
arbiter of the ideal	evasive
arbiter of woe	evasive
arbor adherent	mana_dork,ramp
arbor elf	
arborback stomper	evasive
arborea pegasus	evasive
arboreal alliance	tokens
arboreal grazer	
arc blade	removal,burn
arc lightning	removal,burn
arc of fortune	draw,cantrip
arc reactor	mana_dork,ramp
arc runner	haste
arc spitter	equipment
arc trail	removal,burn
arcades sabboth	anthem,evasive
arcades, the strategist	evasive
arcane amphisbaena	
arcane denial	counterspell
arcane epiphany	draw,cantrip
arcane flight	anthem
arcane heist	removal
arcane infusion	draw,cantrip
arcane investigator	
arcane signet	mana_dork,ramp
arcane subtraction	combat_pump
arcane teachings	anthem
arcanist's owl	evasive
arcanum things	equipment
arcbound condor	evasive
arcbound crusher	evasive
arcbound fiend	evasive
arcbound hybrid	haste
arcbound javelineer	
arcbound mouser	
arcbound prototype	
arcbound ravager	
arcbound slith	
arcbound stinger	evasive
arcbound tracker	evasive
arcbound whelp	evasive
arcbound worker	
archaeomancer's spade	mana_dork,ramp
archaic's agony	removal
archangel	evasive
archangel avacyn	evasive
archangel elspeth	sweeper,tokens
archangel of strife	evasive
archangel of thune	evasive
archangel of tithes	evasive
archangel of wrath	evasive
archangel's light	sweeper
archdemon of greed	evasive
archdemon of paliano	evasive
archdemon of unx	tokens,evasive
archdruid's charm	removal,ramp,land_fetch
archenemy's charm	removal
archers' parapet	
archfiend of depravity	evasive
archfiend of despair	evasive
archfiend of ifnir	evasive
archfiend of sorrows	evasive
archfiend of spite	evasive
archfiend of the dross	evasive
archfiend's vessel	tokens
architect of restoration	tokens
architect of the untamed	tokens
archival whorl	sweeper,draw,cantrip
archive arbiter	evasive
archive dragon	evasive
archive haunt	evasive
archivist of oghma	
archmage of echoes	evasive
archmage's charm	counterspell,draw,cantrip
archmage's newt	
archon of absolution	evasive
archon of coronation	evasive
archon of cruelty	evasive
archon of emeria	evasive
archon of falling stars	evasive
archon of justice	evasive
archon of redemption	evasive
archon of sun's grace	tokens,evasive
archon of the triumvirate	evasive
archon of the wild rose	evasive
archon of valor's reach	evasive
archon's glory	combat_pump
archpriest of iona	
archpriest of shadows	reanimation
archway angel	evasive
archweaver	evasive
archwing dragon	evasive,haste
arclight phoenix	evasive,haste
arctic aven	evasive
arctic foxes	
arctic merfolk	
arctic nishoba	evasive
arcum's astrolabe	mana_dork,ramp
arcus acolyte	
arden angel	evasive
ardent recruit	
ardent soldier	
ardenvale fealty	tokens
ardenvale tactician	evasive
ardoz, cobbler of war	tokens,haste
arek, false goldwarden	
arena athlete	
argent mutation	draw,cantrip
argent sphinx	evasive
argentum armor	anthem,equipment
argivian cavalier	tokens
argivian welcome	removal
argoth, sanctum of nature	tokens
argothian enchantress	
argothian pixies	
argothian sprite	
argothian swine	evasive
argothian wurm	evasive
arius, flyby trawler	evasive
arixmethes, slumbering isle	mana_dork,ramp
arjun, the shifting flame	evasive
arlinn kord	tokens
arlinn, the pack's hope	tokens
arlinn, voice of the pack	tokens
arm the cathars	combat_pump
arm-mounted anchor	anthem,equipment
armada wurm	tokens,evasive
armadillo cloak	anthem
armageddon	sweeper
armament dragon	evasive
armament master	
armed assailant	evasive
armed response	removal
armguard familiar	anthem,equipment
armor of faith	mass_pump,anthem
armor of thorns	anthem
armored armadillo	
armored griffin	evasive
armored pegasus	evasive
armored scrapgorger	mana_dork,ramp
armored skyhunter	evasive
armored warhorse	
armorer guildmage	
armory mice	
armory of iroas	equipment
armory paladin	evasive
armory veteran	evasive
arms of hadar	mass_pump
arms scavenger	
army of allah	mass_pump
army of the damned	tokens
arna kennerüd, skycaptain	evasive
arni brokenbrow	haste
arni, renowned champion	evasive
arnim zola, bio-fanatic	tokens
arno dorian	anthem
aron, benalia's ruin	evasive
arrester's admonition	removal,draw,cantrip
arrester's zeal	combat_pump
arrogant poet	
arrogant vampire	evasive
arrogant wurm	evasive
arrow storm	removal,burn
arrow volley trap	removal
arrows of justice	removal
arteeoh, dread scavenger	evasive
artful maneuver	combat_pump
artful takedown	combat_pump
arthur, marigold knight	haste
artifact blast	counterspell
artifact mutation	removal,tokens
artifact unknown shores	mana_dork,ramp
artificer's assistant	evasive
artificer's dragon	mass_pump,evasive
artificer's epiphany	draw,cantrip
artifist acumen	draw,cantrip
artillerize	removal,burn
artillery blast	removal
artillery enthusiast	
artisan of forms	
artisan of kozilek	reanimation
artisan's sorrow	removal
artistic process	removal,sweeper,tokens
artistic refusal	counterspell,draw,cantrip
arvad the cursed	anthem
arvad, weatherlight smuggler	
arwen undómiel	
arwen's gift	draw,cantrip
aryel, knight of windgrace	tokens
arzakon	sweeper
asari captain	haste
ascend from avernus	removal,sweeper
ascendant dustspeaker	evasive
ascendant evincar	anthem,evasive
ascendant packleader	
ascendant spirit	
ascended lawmage	evasive
ascending aven	evasive
ascent of the worthy	reanimation
ash zealot	haste
ash, party crasher	haste
ashcloud phoenix	evasive
ashcoat bear	
ashen firebeast	sweeper
ashen ghoul	haste
ashen monstrosity	haste
ashen powder	reanimation
ashen reaper	evasive
ashen rider	evasive
ashen-skin zubera	
ashenmoor liege	anthem
ashes to ashes	removal
ashiok, dream render	sweeper
ashiok, nightmare muse	tokens
ashiok, nightmare weaver	sweeper
ashiok, sculptor of fears	reanimation
ashiok, wicked manipulator	sweeper,tokens
ashling the pilgrim	sweeper
ashling the pilgrim avatar	sweeper
ashling's command	sweeper,draw,cantrip
ashling, rekindled	
ashling, rimebound	
ashling, the extinguisher avatar	sweeper
ashmouth blade	anthem,equipment
ashmouth dragon	evasive
ashmouth hound	
ashnod's harvester	
ashnod, flesh mechanist	tokens
ashroot animist	evasive
ashuza's breath	removal
asmira, holy avenger	evasive
asmodeus the archfiend	sweeper
asmoranomardicadaistinaculdacar	
aspect of gorgon	anthem
aspect of hydra	combat_pump
aspect of manticore	anthem
asphodel wanderer	
asphyxiate	removal
aspiring aeronaut	tokens,evasive
aspiring champion	evasive
ass whuppin'	removal
assassin gauntlet	anthem,equipment
assassin initiate	
assassin's blade	removal
assassin's ink	removal
assassin's strike	removal
assassin's trophy	removal,ramp,land_fetch
assassinate	removal
assault	removal,burn
assault drone	anthem
assault formation	mass_pump
assault griffin	evasive
assault intercessor	evasive
assault suit	anthem,equipment
assault zeppelid	evasive
assaultron dominator	
assemble	tokens
assemble the entmoot	tokens
assemble the legion	tokens
assembled ensemble	tokens
assert authority	removal,counterspell
assert perfection	removal,combat_pump
assimilate essence	counterspell
assimilation aegis	equipment
astarion's thirst	removal
astelli reclaimer	evasive
astral confrontation	removal
astral cornucopia	mana_dork,ramp
astral dragon	evasive
astral steel	combat_pump
astral wingspan	anthem
astrid peth	
astrolabe	mana_dork,ramp
astrologian's planisphere	tokens,equipment
asylum visitor	
at knifepoint	tokens
at least it's a dry heat	removal
at the door	tokens
atalan jackal	evasive,haste
atarka beastbreaker	
atarka monument	mana_dork,ramp
atarka, world render	evasive
atemsis, all-seeing	evasive
atla palani, nest tender	tokens
atlantean skirmisher	
atlantis attacks	removal,tokens
atmosphere surgeon	
atog	
atomic microsizer	anthem,equipment
atomize	removal
atraxa's fall	removal
atraxa, grand unifier	evasive
atraxa, praetors' voice	evasive
atraxi warden	evasive
atris, oracle of half-truths	evasive
atrocious experiment	draw,cantrip
atsushi, the blazing sky	evasive
attended healer	tokens
attended knight	tokens
attended socialite	
attentive skywarden	evasive
attentive sunscribe	
attercop	
attuma, atlantean warlord	anthem
attune with aether	ramp,land_fetch
attuned hunter	evasive
atzal, cave of eternity	reanimation
atzocan seer	mana_dork,ramp
audacious infiltrator	
audacity	anthem
audience with trostani	draw,cantrip,tokens
auditore ambush	removal
auger spree	combat_pump
augmenter pugilist	evasive
augmenting automaton	
augur il-vec	evasive
augur of bolas	
augur of skulls	
augury owl	evasive
augury raven	evasive
augusta, dean of order	anthem
augusta, order returned	evasive
aunt may	
auntie ant, ant auntie	tokens
auntie blyte, bad influence	evasive
auntie flint	mass_pump
auntie's sentence	combat_pump
